,cluster
bn578,1
bn579,3
bn58,2
bn580,3
bn581,3
bn582,1
bn583,3
bn584,0
bn585,0
bn586,3
bn587,3
bn588,0
bn589,0
bn59,1
bn590,3
bn591,0
bn592,1
bn593,3
bn594,2
bn595,1
bn596,3
bn597,1
bn598,1
bn599,3
bn6,3
bn60,0
bn600,0
bn601,0
bn602,3
bn603,1
bn604,3
bn605,3
bn606,0
bn607,1
bn608,0
bn609,0
bn61,0
bn610,0
bn611,3
bn612,0
bn613,0
bn614,0
bn615,0
bn62,3
bn63,3
bn64,0
bn65,3
bn66,0
bn67,0
bn68,2
bn69,3
bn7,1
bn70,3
bn71,3
bn72,1
bn73,1
bn74,0
bn75,1
bn76,2
bn77,0
bn78,1
bn79,0
bn8,0
bn80,3
bn81,0
bn82,3
bn83,2
bn84,0
bn85,2
bn86,3
bn87,1
bn88,1
bn89,0
bn9,3
bn90,0
bn91,2
bn92,2
bn93,3
bn94,3
bn95,2
bn96,1
bn97,1
bn98,1
bn99,1
herault_hematopoiesis,1
