sample_count,mean_std,median_std,max_std,p95_std
50,0.05367908738302671,0.048211396319903024,0.12666040718274993,0.10641421890882084
100,0.035475026307498804,0.036574599653719134,0.07197200150961484,0.061495778909892676
250,0.0260135684582067,0.02696667908671458,0.06430384277552939,0.04832769169168043
500,0.016395195496944858,0.016564048992214392,0.04036523392103645,0.029822305437672825
750,0.012689025021711774,0.013309903304474655,0.03288615401654632,0.02305392224086072
1000,0.012944710485566408,0.013157685751890417,0.028237164044924854,0.023895081181189243
2500,0.007797636708506776,0.007679913784595501,0.020350072341394746,0.014990711750419718
5000,0.005113904324875627,0.005137038323306144,0.01227428888775218,0.009957719634281574
7500,0.0046896527112440245,0.0046544155284061785,0.010503190063023714,0.008732329747126639
10000,0.004033317560980529,0.0039043644475822005,0.009006410727920843,0.007733933871119337
