,Pelle,Slmb,Cactus,Dif,Dorsal,Toll,MyD88,Nec,Tube,Spz,Targets,model_id,timepoint
449,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,bn_7,29.0
450,0.4927670000000004,0.30172299999999985,0.4488570000000004,0.5134100000000004,0.5035590000000004,0.49046400000000023,0.49583300000000013,0.6809940000000015,0.48899500000000046,0.4504920000000002,0.5795340000000007,bn_2,0.0
451,0.4862809999999997,0.10074800000000006,0.43195899999999954,0.5455990000000004,0.540187,0.41397899999999943,0.4697649999999996,0.8836020000000004,0.47422199999999953,0.2893729999999999,0.6525830000000004,bn_2,1.0
452,0.45667100000000016,0.03502299999999999,0.47911600000000004,0.5478479999999994,0.5378339999999995,0.2801000000000001,0.38792800000000005,0.9517399999999995,0.439733,0.151427,0.6499489999999996,bn_2,2.0
453,0.42321800000000004,0.011248,0.5277430000000001,0.5189210000000002,0.506313,0.17092000000000002,0.28447600000000006,0.98157,0.373329,0.07178800000000003,0.6277739999999996,bn_2,3.0
454,0.36194299999999996,0.003822,0.5736849999999999,0.47292599999999996,0.467839,0.09650599999999997,0.1826750000000001,0.9938649999999997,0.286975,0.031856,0.5925419999999997,bn_2,4.0
455,0.28782300000000005,0.002098,0.6393389999999999,0.418168,0.4196639999999999,0.047451,0.10794800000000002,0.997901,0.199689,0.012922000000000001,0.5379309999999999,bn_2,5.0
456,0.19898200000000005,0.000202,0.7214519999999999,0.35619600000000007,0.353745,0.022065,0.05763000000000001,0.9993329999999999,0.12194700000000001,0.006703000000000001,0.4757279999999999,bn_2,6.0
457,0.128762,0.0,0.8021929999999998,0.28122800000000003,0.27420700000000003,0.01075,0.030632999999999997,0.9999989999999999,0.072286,0.001678,0.409006,bn_2,7.0
458,0.07909699999999997,0.0,0.8663249999999999,0.20152099999999998,0.19637099999999996,0.004883,0.015431,1.000001,0.040559,0.0005,0.326351,bn_2,8.0
459,0.048523,0.0,0.9143870000000002,0.13903100000000002,0.13364900000000002,0.0017989999999999998,0.007507,1.0000010000000001,0.024094000000000004,0.000348,0.23705299999999999,bn_2,9.0
460,0.027642,0.0,0.943025,0.093751,0.089742,0.0015,0.003634,1.0,0.009959999999999998,0.0,0.170533,bn_2,10.0
461,0.014968,0.0,0.966615,0.058961,0.056139,0.001088,0.002571,1.0,0.004978,0.0,0.11790300000000001,bn_2,11.0
462,0.008702,0.0,0.9810209999999999,0.035747,0.035797999999999996,0.000258,0.001989,1.0,0.0038719999999999996,0.0,0.076968,bn_2,12.0
463,0.003919,0.0,0.990758,0.020237,0.020281,0.0,0.000755,1.000001,0.002254,0.0,0.050154000000000004,bn_2,13.0
464,0.00168,0.0,0.994996,0.012562000000000002,0.011514000000000002,0.0,0.00023,1.0,0.000859,0.0,0.031427000000000004,bn_2,14.0
465,0.001082,0.0,0.998466,0.00631,0.005504,0.0,0.0,1.000001,0.000431,0.0,0.018552,bn_2,15.0
466,0.000393,0.0,0.999163,0.003794,0.003702,0.0,0.0,1.0,0.0,0.0,0.012544,bn_2,16.0
467,0.0,0.0,0.9994989999999999,0.002048,0.0012460000000000001,0.0,0.0,0.999999,0.0,0.0,0.0059689999999999995,bn_2,17.0
