,B,L,A,Lm,Am,M,Ge,C,Le,P,Lem,Rm,R,model_id,timepoint
15224,0.0006140000000000001,0.000532,0.002063,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.99618,bn_675,14.0
15225,0.0005,2.1e-05,0.001282,0.999999,0.999999,0.0,0.999999,0.0,0.999999,0.0,0.999999,0.0,0.997176,bn_675,15.0
15226,0.0005,0.0,0.000559,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.999015,bn_675,16.0
15227,0.000178,0.0,0.0005,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9995,bn_675,17.0
15228,0.0,0.0,3e-06,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9995,bn_675,18.0
15229,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9995,bn_675,19.0
15230,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.999977,bn_675,20.0
15231,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,bn_675,21.0
15232,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,bn_675,22.0
15233,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,bn_675,23.0
15234,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,bn_675,24.0
15235,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,bn_675,25.0
15236,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,bn_675,26.0
15237,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,bn_675,27.0
15238,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,bn_675,28.0
15239,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,bn_675,29.0
15240,0.5461669999999991,0.3903749999999989,0.5832269999999997,0.6367340000000011,0.5912170000000002,0.656797999999999,0.3140659999999997,0.5546309999999987,0.6823550000000005,0.5360699999999998,0.3309839999999994,0.3641279999999997,0.5550759999999988,bn_448,0.0
15241,0.6927210000000007,0.4234439999999999,0.6962039999999998,0.8338370000000008,0.7440620000000008,0.8376140000000004,0.12272799999999998,0.7226360000000001,0.8772380000000009,0.6880519999999999,0.11806900000000005,0.19425600000000012,0.5447489999999999,bn_448,1.0
