TGFbeta,CTNNB1,CDH1,CDH2,GF,NICD,miR34,p53,AKT1,TWIST1,miR203,AKT2,ZEB2,ERK,miR200,p63,p73,Apoptosis,SNAI1,SNAI2,ZEB1,DKK1,p21,CellCycleArrest,DNAdamage,ECMicroenv,EMT,SMAD,Invasion,Migration,Metastasis,VIM,model_id,timepoint
0.5476019999999996,0.42551100000000014,0.4574289999999998,0.5526939999999998,0.721234,0.42056000000000004,0.5201949999999999,0.4850100000000001,0.40152600000000005,0.6615739999999998,0.47720400000000013,0.599443,0.6080559999999999,0.493309,0.49305499999999997,0.117329,0.34304900000000005,0.4134470000000003,0.635717,0.4346250000000002,0.5076319999999999,0.6187059999999999,0.6168179999999998,0.6585170000000004,0.4999980000000002,0.5000080000000002,0.5895880000000001,0.3682980000000002,0.45397000000000015,0.4838219999999999,0.49191799999999986,0.5531680000000001,Invasion_532,0.0
0.5516699999999995,0.31753999999999993,0.3728309999999999,0.7079389999999998,0.899884,0.4536499999999998,0.5110769999999998,0.44178999999999974,0.193532,0.7728299999999998,0.43767199999999973,0.8504380000000004,0.665436,0.5310109999999995,0.3723729999999999,0.054216999999999994,0.16342400000000004,0.35913699999999993,0.5897579999999999,0.48834799999999984,0.5316949999999999,0.6954639999999999,0.784774,0.8293529999999998,0.5000019999999998,0.4999979999999999,0.6787469999999999,0.20775700000000005,0.278983,0.26438,0.392172,0.6679819999999999,Invasion_532,1.0
0.5669820000000002,0.20238,0.3351759999999999,0.7663300000000001,0.9320500000000004,0.3955719999999999,0.5203040000000001,0.43556499999999987,0.17629399999999995,0.7599510000000003,0.3825349999999998,0.8270410000000005,0.6768840000000002,0.5926610000000002,0.3400599999999999,0.016324,0.061807999999999995,0.3587969999999998,0.575662,0.5421759999999999,0.5563410000000001,0.6030910000000002,0.7892150000000002,0.8720080000000002,0.5000020000000002,0.5000009999999999,0.7923310000000006,0.27788799999999997,0.240331,0.23799899999999996,0.29494099999999995,0.6799300000000005,Invasion_532,2.0
0.510656,0.131804,0.32033899999999993,0.7654319999999998,0.940004,0.3645090000000001,0.4363430000000001,0.3957770000000001,0.113597,0.7197189999999996,0.3808480000000001,0.7671229999999997,0.6928249999999998,0.6512609999999999,0.294575,0.0,0.029236,0.267264,0.560003,0.512928,0.5460139999999999,0.5319759999999998,0.6752429999999998,0.869589,0.5000020000000002,0.5000030000000001,0.8272229999999999,0.28593500000000005,0.28737900000000005,0.224775,0.25311599999999995,0.7187449999999996,Invasion_532,3.0
0.5116939999999999,0.08670699999999999,0.39402699999999985,0.765356,0.939999,0.36253199999999997,0.370736,0.370978,0.078955,0.691515,0.42541499999999977,0.8059580000000002,0.6923290000000002,0.6837100000000002,0.30734500000000003,0.0,0.019999,0.294418,0.5802919999999999,0.51608,0.5187090000000001,0.456474,0.632439,0.8989030000000002,0.49999899999999997,0.49999799999999994,0.8199990000000004,0.281164,0.25993800000000006,0.276758,0.269085,0.7514410000000004,Invasion_532,4.0
0.513409,0.030558000000000002,0.42031700000000005,0.745531,0.9510119999999999,0.324413,0.26584,0.3276630000000001,0.065945,0.6397130000000001,0.394096,0.7929269999999999,0.6737400000000001,0.729735,0.346442,0.0,0.02,0.28495000000000004,0.56,0.5600010000000002,0.5945590000000001,0.39057099999999995,0.5421199999999999,0.9378009999999999,0.5,0.49999499999999997,0.8139540000000002,0.30671600000000004,0.24902899999999997,0.28835,0.28067400000000003,0.739618,Invasion_532,5.0
0.5000009999999999,0.017573,0.4200019999999999,0.7264560000000002,0.9600040000000002,0.3306059999999999,0.24689399999999992,0.32852300000000006,0.05882,0.585427,0.320002,0.8010840000000002,0.640148,0.7125560000000002,0.36000299999999996,0.0,0.000212,0.2687049999999999,0.5600010000000001,0.5817380000000001,0.587827,0.33115199999999995,0.502502,0.9200030000000002,0.5000020000000001,0.5000009999999999,0.7428450000000003,0.3,0.258455,0.275538,0.28120700000000004,0.6635140000000002,Invasion_532,6.0
0.4999949999999999,0.00721,0.40128199999999997,0.6598450000000002,0.9599929999999999,0.3538609999999999,0.25842899999999996,0.328036,0.029299,0.6028490000000001,0.32943000000000006,0.7770159999999999,0.64742,0.714371,0.32677700000000004,0.0,0.0,0.2967969999999999,0.5874790000000001,0.632685,0.5999990000000001,0.32553399999999993,0.46831000000000006,0.93329,0.499998,0.4999949999999999,0.724554,0.30230099999999993,0.281128,0.27647700000000003,0.25368599999999997,0.65136,Invasion_532,7.0
0.48250999999999994,0.038629000000000004,0.3836340000000001,0.6389079999999999,0.9600000000000002,0.360002,0.19040599999999994,0.350793,0.020000999999999998,0.61748,0.330666,0.7612020000000002,0.6506890000000001,0.625675,0.310048,0.0,0.0,0.3073700000000001,0.620002,0.6400020000000001,0.618648,0.366037,0.41368400000000005,0.9644110000000002,0.4999999999999999,0.500001,0.711219,0.33485699999999996,0.31959499999999996,0.30061899999999997,0.267177,0.6600010000000001,Invasion_532,8.0
0.48125400000000007,0.015212999999999999,0.37194900000000003,0.6324730000000001,0.968639,0.37223200000000006,0.18208900000000003,0.34711400000000003,0.019284,0.632171,0.34000100000000005,0.7735389999999999,0.6507600000000001,0.59979,0.32000100000000004,0.0,0.0,0.3241800000000001,0.6214470000000001,0.640001,0.632077,0.39930000000000004,0.420234,0.9782309999999999,0.500001,0.500001,0.6636,0.35102000000000005,0.3371080000000001,0.300989,0.289585,0.650309,Invasion_532,9.0
0.49999999999999994,0.0009620000000000001,0.339998,0.6209809999999998,0.9799979999999997,0.39691399999999993,0.13672400000000004,0.304408,0.0,0.6420939999999999,0.336247,0.7793609999999999,0.6599999999999999,0.6390149999999998,0.319999,0.0,0.0,0.299998,0.6399999999999999,0.6550199999999999,0.6599999999999999,0.374281,0.3889,0.9877409999999998,0.499999,0.49999999999999994,0.6505859999999999,0.36085399999999995,0.340001,0.32000100000000004,0.319369,0.6440329999999999,Invasion_532,10.0
0.499998,0.019999999999999997,0.33999899999999994,0.640814,0.979998,0.399999,0.126795,0.294314,0.018505999999999998,0.6599990000000001,0.288576,0.7842430000000002,0.6599990000000001,0.6534600000000002,0.319999,0.0,0.0,0.30483400000000005,0.6399990000000001,0.6599990000000001,0.6599990000000001,0.37829199999999996,0.359999,0.9904660000000002,0.499999,0.499998,0.66,0.379999,0.36646500000000004,0.351443,0.33206,0.652897,Invasion_532,11.0
0.5,0.02,0.339999,0.66,0.9799990000000001,0.38900300000000004,0.132472,0.31962399999999996,0.02,0.646919,0.295271,0.747854,0.66,0.640853,0.314929,0.0,0.0,0.319999,0.64,0.66,0.66,0.391473,0.34024200000000004,0.9799990000000002,0.5000000000000001,0.5,0.6703509999999999,0.38,0.38,0.378841,0.357042,0.657168,Invasion_532,12.0
0.500001,0.001958,0.340001,0.641387,0.980001,0.38,0.08000099999999999,0.32000100000000004,0.0030550000000000004,0.64,0.300001,0.751353,0.66,0.6518670000000001,0.300001,0.0,0.0,0.32000100000000004,0.64,0.66,0.66,0.387354,0.35491300000000003,0.994288,0.5,0.500001,0.660077,0.38,0.38,0.38,0.38,0.66,Invasion_532,13.0
0.5,0.016058,0.33999999999999997,0.64,0.98,0.38,0.09855,0.325991,0.0,0.64,0.322842,0.7534219999999999,0.6599999999999999,0.640411,0.30000000000000004,0.0,0.0,0.32,0.64,0.6599999999999999,0.6599999999999999,0.386636,0.36,1.0,0.5,0.5,0.6599999999999999,0.38,0.38,0.38,0.38,0.6599999999999999,Invasion_532,14.0
0.5,0.02,0.33999999999999997,0.6400000000000001,0.98,0.38,0.095227,0.323671,0.0,0.6496240000000001,0.339901,0.757172,0.6599999999999999,0.6400000000000001,0.30000000000000004,0.0,0.0,0.339353,0.6400000000000001,0.6599999999999999,0.6599999999999999,0.4,0.357669,1.0,0.5,0.5,0.6599999999999999,0.38,0.38,0.38,0.38,0.6599999999999999,Invasion_532,15.0
0.5,0.006933,0.33999999999999997,0.6551760000000001,0.9800000000000001,0.38,0.122889,0.30153700000000005,0.0,0.653683,0.335939,0.765194,0.66,0.64,0.317332,0.0,0.0,0.321523,0.64,0.66,0.66,0.399258,0.351155,0.9999999999999999,0.5,0.5,0.66,0.38,0.38,0.38,0.38,0.66,Invasion_532,16.0
0.5000000000000001,0.0,0.34494600000000014,0.64,0.9799999999999998,0.38337600000000005,0.10140399999999998,0.2936800000000001,0.0,0.64,0.30596000000000007,0.7893589999999999,0.65828,0.64,0.3040350000000001,0.0,0.0,0.3138100000000001,0.64,0.6412530000000001,0.659999,0.382933,0.34879900000000014,0.9999999999999998,0.49999900000000014,0.5000000000000001,0.659999,0.38,0.38,0.38,0.38,0.659999,Invasion_532,17.0
0.500001,0.0,0.3600010000000001,0.6430870000000001,0.9800009999999999,0.4000000000000001,0.14296899999999998,0.32000100000000004,0.0,0.648529,0.30828400000000006,0.7566719999999999,0.64,0.64,0.30000100000000013,0.0,0.0,0.34000100000000005,0.651501,0.64,0.645805,0.4000000000000001,0.32283300000000004,1.000001,0.500001,0.500001,0.66,0.38,0.38,0.38,0.38,0.648745,Invasion_532,18.0
0.500001,0.0,0.34949700000000006,0.6600010000000001,0.98,0.40000100000000005,0.14354700000000004,0.32510000000000006,0.0,0.6600010000000001,0.306819,0.709858,0.6516120000000001,0.652472,0.30395300000000003,0.0,0.0,0.3397470000000001,0.6600010000000001,0.644396,0.64,0.40000100000000005,0.33999900000000005,1.0,0.5,0.500001,0.658527,0.38,0.38,0.38,0.38,0.650329,Invasion_532,19.0
