,Ae,T,A,Aem,Am,Ara_minus,Ara_plus,Ge,C,MS,E,L,MT,model_id,timepoint
26382,1.0,0.9982040000000001,1.0,0.0,0.9972310000000001,1.0,0.99955,1.0,0.0,0.0005,0.002214,1.0,0.999386,bn_623,12.0
26383,0.999999,0.999411,0.999999,0.0,0.99895,0.999999,0.999999,0.999999,0.0,0.0005,0.002,0.999999,0.99986,bn_623,13.0
26384,1.0,0.9996539999999999,1.0,0.0,0.9994999999999999,1.0,1.0,1.0,0.0,1.5e-05,0.001547,1.0,1.0,bn_623,14.0
26385,1.0,1.0,1.0,0.0,0.99998,1.0,1.0,1.0,0.0,0.0,0.001,1.0,1.0,bn_623,15.0
26386,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.00035,1.0,1.0,bn_623,16.0
26387,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,bn_623,17.0
26388,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,bn_623,18.0
26389,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,bn_623,19.0
26390,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,bn_623,20.0
26391,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,bn_623,21.0
26392,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,bn_623,22.0
26393,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,bn_623,23.0
26394,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,bn_623,24.0
26395,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,bn_623,25.0
26396,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,bn_623,26.0
26397,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,bn_623,27.0
26398,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,bn_623,28.0
