Stat3,Aldh1L1,Mash1,Brn2,Hes5,Olig2,Myt1L,Scl,Pax6,Sox8,Zic1,Tuj1,model_id,timepoint
0.4042030000000005,0.4690450000000001,0.5014090000000001,0.5331039999999998,0.4998180000000004,0.408509,0.4860939999999995,0.41265000000000057,0.5150099999999994,0.47588800000000037,0.4947500000000007,0.5100500000000001,bn_411,0.0
0.3010590000000002,0.38807099999999994,0.5064790000000002,0.5242090000000001,0.4944000000000003,0.295671,0.38070099999999973,0.3306720000000001,0.5150029999999999,0.3750429999999998,0.5030150000000001,0.5024210000000001,bn_411,1.0
0.268949,0.32998599999999984,0.5058529999999997,0.5126079999999998,0.49410399999999993,0.2610450000000001,0.30415599999999987,0.291691,0.5150049999999997,0.3038729999999999,0.5019079999999998,0.5015609999999998,bn_411,2.0
0.259835,0.28510599999999997,0.506051,0.509049,0.49400200000000005,0.246979,0.270107,0.27147600000000005,0.5150000000000002,0.264528,0.4999890000000001,0.5056690000000001,bn_411,3.0
0.258808,0.26233599999999996,0.506,0.5063280000000001,0.4939999999999999,0.23831700000000006,0.251561,0.264343,0.515,0.24777100000000007,0.5044420000000001,0.49965999999999994,bn_411,4.0
0.25982,0.25907600000000003,0.5059999999999999,0.5070149999999999,0.49400099999999986,0.23600000000000002,0.24244100000000002,0.26106999999999997,0.5150019999999998,0.241531,0.5045579999999998,0.502128,bn_411,5.0
0.25906900000000005,0.26009899999999997,0.506,0.506,0.494001,0.236,0.239352,0.25946400000000003,0.514999,0.238012,0.506,0.50612,bn_411,6.0
0.259,0.259825,0.506,0.506,0.494,0.23600000000000002,0.23592300000000002,0.259,0.5150000000000001,0.23678200000000002,0.506,0.5060720000000001,bn_411,7.0
0.259,0.259,0.506,0.506,0.494,0.235919,0.236,0.259,0.515,0.236,0.506,0.506,bn_411,8.0
0.259,0.259,0.506,0.506,0.494,0.235,0.235924,0.259,0.515,0.236,0.506,0.506,bn_411,9.0
0.259,0.259,0.506,0.506,0.494,0.235,0.235,0.259,0.515,0.236,0.506,0.506,bn_411,10.0
0.259,0.259,0.506,0.506,0.494,0.235,0.235,0.259,0.515,0.23500500000000002,0.506,0.506,bn_411,11.0
0.259,0.259,0.506,0.506,0.494,0.235,0.235,0.259,0.515,0.235,0.506,0.506,bn_411,12.0
0.259,0.259,0.506,0.506,0.494,0.235,0.235,0.259,0.515,0.235,0.506,0.506,bn_411,13.0
0.259,0.259,0.506,0.506,0.494,0.235,0.235,0.259,0.515,0.235,0.506,0.506,bn_411,14.0
0.259,0.259,0.506,0.506,0.494,0.235,0.235,0.259,0.515,0.235,0.506,0.506,bn_411,15.0
0.259,0.259,0.506,0.506,0.494,0.235,0.235,0.259,0.515,0.235,0.506,0.506,bn_411,16.0
0.259,0.259,0.506,0.506,0.494,0.235,0.235,0.259,0.515,0.235,0.506,0.506,bn_411,17.0
0.259,0.259,0.506,0.506,0.494,0.235,0.235,0.259,0.515,0.235,0.506,0.506,bn_411,18.0
