model_id,Cluster,Attractor
bn_1288,48,15
bn_1289,6,21
bn_129,1,36
bn_1290,56,4
bn_1291,48,15
bn_1292,1,36
bn_1293,10,31
bn_1294,50,24
bn_1295,1,36
bn_1296,10,31
bn_1297,50,24
bn_1298,6,21
bn_1299,56,4
bn_13,14,10
bn_130,50,24
bn_1300,48,15
bn_1301,6,21
bn_1302,56,4
bn_1303,48,15
bn_1304,61,30
bn_1305,14,10
bn_1306,9,3
bn_1307,61,30
bn_1308,14,10
bn_1309,9,3
bn_131,10,31
bn_1310,43,21
bn_1311,23,4
bn_1312,36,15
bn_1313,43,21
bn_1314,23,4
bn_1315,36,15
bn_1316,61,30
bn_1317,14,10
bn_1318,9,3
bn_1319,61,30
bn_132,1,36
bn_1320,14,10
bn_1321,9,3
bn_1322,43,21
bn_1323,23,4
bn_1324,36,15
bn_1325,43,21
bn_1326,23,4
bn_1327,36,15
bn_1328,18,16
bn_1329,40,37
bn_133,50,24
bn_1330,2,39
bn_1331,55,61
bn_1332,60,23
bn_1333,37,33
bn_1334,18,16
bn_1335,40,62
bn_1336,2,39
bn_1337,35,73
bn_1338,60,23
bn_1339,73,44
bn_134,56,4
bn_1340,24,14
bn_1341,67,40
bn_1342,33,11
bn_1343,42,7
bn_1344,44,6
bn_1345,57,60
bn_1346,24,14
bn_1347,68,28
bn_1348,33,11
bn_1349,64,32
bn_135,6,21
bn_1350,44,6
bn_1351,0,70
bn_1352,4,64
bn_1353,41,54
bn_1354,29,35
bn_1355,17,34
bn_1356,4,9
bn_1357,45,52
bn_1358,4,64
bn_1359,62,45
bn_136,48,15
bn_1360,29,35
bn_1361,58,67
bn_1362,4,9
bn_1363,72,18
bn_1364,59,14
bn_1365,38,40
bn_1366,12,11
bn_1367,70,7
bn_1368,69,6
bn_1369,32,60
bn_137,56,4
bn_1370,59,14
bn_1371,54,28
bn_1372,12,11
bn_1373,64,32
bn_1374,69,6
bn_1375,49,70
bn_1376,31,50
bn_1377,7,59
bn_1378,19,29
bn_1379,31,50
bn_138,6,21
bn_1380,7,59
bn_1381,19,29
bn_1382,46,21
bn_1383,3,4
bn_1384,27,15
bn_1385,46,21
bn_1386,3,4
bn_1387,27,15
bn_1388,31,50
bn_1389,7,59
bn_139,48,15
bn_1390,19,29
bn_1391,31,50
bn_1392,7,59
bn_1393,19,29
bn_1394,46,21
bn_1395,3,4
bn_1396,27,15
bn_1397,46,21
bn_1398,3,4
bn_1399,27,15
bn_14,23,4
bn_140,10,31
bn_1400,13,8
bn_1401,21,13
bn_1402,65,12
bn_1403,13,8
bn_1404,21,13
bn_1405,65,12
bn_1406,6,21
bn_1407,56,4
bn_1408,48,15
bn_1409,6,21
bn_141,1,36
bn_1410,56,4
bn_1411,48,15
bn_1412,13,8
bn_1413,21,13
bn_1414,65,12
bn_1415,13,8
bn_1416,21,13
bn_1417,65,12
bn_1418,6,21
bn_1419,56,4
bn_142,50,24
bn_1420,48,15
bn_1421,6,21
bn_1422,56,4
bn_1423,48,15
bn_1424,47,1
bn_1425,74,49
bn_1426,39,42
bn_1427,66,66
bn_1428,28,53
bn_1429,53,63
bn_143,10,31
bn_1430,47,1
bn_1431,8,68
bn_1432,39,42
bn_1433,66,56
bn_1434,28,53
bn_1435,53,65
bn_1436,5,14
bn_1437,15,40
bn_1438,52,11
bn_1439,42,7
bn_144,1,36
bn_1440,71,6
bn_1441,0,60
bn_1442,5,14
bn_1443,51,28
bn_1444,52,11
bn_1445,34,32
bn_1446,71,6
bn_1447,0,70
bn_1448,11,41
bn_1449,26,48
bn_145,50,24
bn_1450,25,46
bn_1451,16,57
bn_1452,11,25
bn_1453,30,43
bn_1454,11,41
bn_1455,26,74
bn_1456,25,46
bn_1457,16,20
bn_1458,11,25
bn_1459,30,69
bn_146,56,4
bn_1460,24,14
bn_1461,67,40
bn_1462,33,11
bn_1463,42,7
bn_1464,44,6
bn_1465,57,60
bn_1466,24,14
bn_1467,68,28
bn_1468,33,11
bn_1469,64,32
bn_147,6,21
bn_1470,44,6
bn_1471,0,70
bn_1472,1,36
bn_1473,10,31
bn_1474,50,24
bn_1475,1,36
bn_1476,10,31
bn_1477,50,24
bn_1478,6,21
bn_1479,56,4
bn_148,48,15
bn_1480,48,15
bn_1481,6,21
bn_1482,56,4
bn_1483,48,15
bn_1484,1,36
bn_1485,10,31
bn_1486,50,24
bn_1487,1,36
bn_1488,10,31
bn_1489,50,24
bn_149,56,4
bn_1490,6,21
bn_1491,56,4
bn_1492,48,15
bn_1493,6,21
bn_1494,56,4
bn_1495,48,15
bn_1496,61,30
bn_1497,14,10
bn_1498,9,3
bn_1499,61,30
bn_15,23,4
bn_150,6,21
bn_1500,14,10
bn_1501,9,3
bn_1502,43,21
bn_1503,23,4
bn_1504,36,15
bn_1505,43,21
bn_1506,23,4
bn_1507,36,15
bn_1508,61,30
bn_1509,14,10
bn_151,48,15
bn_1510,9,3
bn_1511,61,30
bn_1512,14,10
bn_1513,9,3
bn_1514,43,21
bn_1515,23,4
bn_1516,36,15
bn_1517,43,21
bn_1518,23,4
bn_1519,36,15
bn_152,14,10
bn_1520,18,16
bn_1521,40,37
bn_1522,2,39
bn_1523,55,61
bn_1524,60,23
bn_1525,37,33
bn_1526,18,16
bn_1527,40,62
bn_1528,2,39
bn_1529,35,26
bn_153,61,30
bn_1530,60,23
bn_1531,37,27
bn_1532,24,14
bn_1533,67,40
bn_1534,33,11
bn_1535,42,7
bn_1536,44,6
bn_1537,57,60
bn_1538,24,14
bn_1539,68,28
bn_154,9,3
bn_1540,33,11
bn_1541,34,2
bn_1542,44,6
bn_1543,49,17
bn_1544,4,64
bn_1545,41,54
bn_1546,29,35
bn_1547,17,34
bn_1548,4,9
bn_1549,45,52
bn_155,14,10
bn_1550,4,64
bn_1551,62,45
bn_1552,29,35
bn_1553,17,22
bn_1554,4,9
bn_1555,63,71
bn_1556,59,14
bn_1557,38,40
bn_1558,12,11
bn_1559,70,7
bn_156,61,30
bn_1560,69,6
bn_1561,32,60
bn_1562,59,14
bn_1563,54,28
bn_1564,12,11
bn_1565,22,2
bn_1566,69,6
bn_1567,49,17
bn_1568,31,50
bn_1569,7,59
bn_157,9,3
bn_1570,19,29
bn_1571,31,50
bn_1572,7,59
bn_1573,19,29
bn_1574,46,21
bn_1575,3,4
bn_1576,27,15
bn_1577,46,21
bn_1578,3,4
bn_1579,27,15
bn_158,23,4
bn_1580,31,50
bn_1581,7,59
bn_1582,19,29
bn_1583,31,50
bn_1584,7,59
bn_1585,19,29
bn_1586,46,21
bn_1587,3,4
bn_1588,27,15
bn_1589,46,21
bn_159,43,21
bn_1590,3,4
bn_1591,27,15
bn_1592,13,8
bn_1593,21,13
bn_1594,65,12
bn_1595,13,8
bn_1596,21,13
bn_1597,65,12
bn_1598,6,21
bn_1599,56,4
bn_16,2,39
bn_160,36,15
bn_1600,48,15
bn_1601,6,21
bn_1602,56,4
bn_1603,48,15
bn_1604,13,8
bn_1605,21,13
bn_1606,65,12
