,cluster
bn187,4
bn248,6
bn251,5
bn419,4
bn474,4
bn163,4
bn174,7
bn535,4
bn590,4
bn94,1
bn472,1
bn420,6
bn570,7
bn71,6
bn190,7
bn484,3
bn433,8
bn195,6
bn147,4
bn481,8
bn437,8
bn51,3
bn463,2
bn19,8
bn48,5
bn577,4
bn403,1
bn43,7
bn605,3
bn409,7
bn538,8
bn103,3
bn413,2
bn569,8
bn69,6
bn520,8
bn247,1
bn198,6
bn221,5
bn312,7
bn435,2
bn272,8
bn208,2
bn121,4
bn78,8
bn531,3
bn582,7
bn262,2
bn446,7
bn555,7
bn325,5
bn346,1
bn418,4
bn358,3
bn561,6
bn376,7
bn477,8
bn102,8
bn243,7
bn258,2
bn213,6
bn274,5
bn264,2
bn360,4
bn508,2
bn89,4
bn234,4
bn502,6
bn291,1
bn220,8
bn117,8
bn241,7
bn285,2
bn188,6
bn126,8
bn66,2
bn310,6
bn22,5
bn217,4
bn15,4
bn200,8
bn356,8
bn364,6
bn504,7
