,cluster
Invasion_355,3
Invasion_356,3
Invasion_357,4
Invasion_358,3
Invasion_359,4
Invasion_360,3
Invasion_361,4
Invasion_362,4
Invasion_363,4
Invasion_364,4
Invasion_365,4
Invasion_366,4
Invasion_367,4
Invasion_368,4
Invasion_369,4
Invasion_370,4
Invasion_371,4
Invasion_372,4
Invasion_373,4
Invasion_374,4
Invasion_375,4
Invasion_376,4
Invasion_377,4
Invasion_378,4
Invasion_379,4
Invasion_380,4
Invasion_381,4
Invasion_382,4
Invasion_383,4
Invasion_384,4
Invasion_385,4
Invasion_386,3
Invasion_387,4
Invasion_388,4
Invasion_389,5
Invasion_390,4
Invasion_391,1
Invasion_392,4
Invasion_393,1
Invasion_394,4
Invasion_395,4
Invasion_396,4
Invasion_397,4
Invasion_398,4
Invasion_399,3
Invasion_400,4
Invasion_401,4
Invasion_402,4
Invasion_403,4
Invasion_404,0
Invasion_405,0
Invasion_406,1
Invasion_407,0
Invasion_408,4
Invasion_409,1
Invasion_410,4
Invasion_411,3
Invasion_412,4
Invasion_413,0
Invasion_414,1
Invasion_415,1
Invasion_416,1
Invasion_417,1
Invasion_418,1
Invasion_419,1
Invasion_420,1
Invasion_421,1
Invasion_422,1
Invasion_423,1
Invasion_424,1
Invasion_425,1
Invasion_426,1
Invasion_427,1
Invasion_428,1
Invasion_429,1
Invasion_430,1
Invasion_431,1
Invasion_432,1
Invasion_433,1
Invasion_434,1
Invasion_435,1
Invasion_436,1
Invasion_437,1
Invasion_438,1
Invasion_439,1
Invasion_440,1
Invasion_441,1
Invasion_442,2
Invasion_443,1
Invasion_444,1
Invasion_445,1
Invasion_446,1
Invasion_447,1
Invasion_448,1
Invasion_449,3
Invasion_450,1
Invasion_451,1
Invasion_452,1
Invasion_453,1
Invasion_454,1
Invasion_455,1
Invasion_456,1
Invasion_457,1
Invasion_458,1
Invasion_459,1
Invasion_460,1
Invasion_461,1
Invasion_462,1
Invasion_463,1
Invasion_464,1
Invasion_465,1
Invasion_466,1
Invasion_467,1
Invasion_468,1
Invasion_469,1
Invasion_470,1
Invasion_471,1
Invasion_472,1
Invasion_473,1
Invasion_474,1
Invasion_475,1
Invasion_476,1
Invasion_477,1
Invasion_478,1
Invasion_479,1
Invasion_480,1
Invasion_481,1
Invasion_482,1
Invasion_483,1
Invasion_484,1
Invasion_485,1
Invasion_486,1
Invasion_487,1
Invasion_488,1
Invasion_489,1
Invasion_490,1
Invasion_491,5
Invasion_492,1
Invasion_493,1
Invasion_494,1
Invasion_495,1
Invasion_496,1
Invasion_497,1
Invasion_498,3
Invasion_499,5
Invasion_500,3
Invasion_501,5
Invasion_502,3
Invasion_503,1
Invasion_504,1
Invasion_505,1
Invasion_506,1
Invasion_507,1
Invasion_508,1
Invasion_509,1
Invasion_510,1
Invasion_511,1
Invasion_512,1
Invasion_513,1
Invasion_514,1
Invasion_515,5
Invasion_516,1
Invasion_517,1
Invasion_518,1
Invasion_519,1
Invasion_520,1
Invasion_521,1
Invasion_522,1
Invasion_523,5
Invasion_524,1
Invasion_525,1
Invasion_526,1
Invasion_527,1
Invasion_528,1
Invasion_529,1
Invasion_530,1
Invasion_531,1
Invasion_532,1
Invasion_533,1
Invasion_534,1
Invasion_535,1
Invasion_536,1
Invasion_537,1
Invasion_538,1
Invasion_539,1
Invasion_540,1
Invasion_541,1
Invasion_542,1
Invasion_543,1
Invasion_544,1
Invasion_545,1
Invasion_546,0
Invasion_547,0
Invasion_548,4
Invasion_549,4
Invasion_550,0
Invasion_551,0
Invasion_552,0
Invasion_553,0
Invasion_554,0
Invasion_555,0
Invasion_556,0
Invasion_557,0
Invasion_558,0
Invasion_559,0
Invasion_560,0
Invasion_561,0
Invasion_562,0
Invasion_563,0
Invasion_564,0
Invasion_565,4
Invasion_566,4
Invasion_567,0
Invasion_568,1
Invasion_569,1
Invasion_570,1
Invasion_571,1
Invasion_572,1
Invasion_573,1
Invasion_574,1
Invasion_575,1
Invasion_576,1
Invasion_577,1
Invasion_578,1
Invasion_579,1
Invasion_580,1
Invasion_581,1
Invasion_582,1
Invasion_583,1
Invasion_584,1
Invasion_585,1
Invasion_586,1
Invasion_587,1
Invasion_588,0
Invasion_589,0
Invasion_590,0
Invasion_591,0
Invasion_592,0
Invasion_593,0
Invasion_594,0
Invasion_595,0
Invasion_596,0
Invasion_597,0
Invasion_598,0
Invasion_599,0
Invasion_600,0
Invasion_601,0
Invasion_602,0
Invasion_603,0
Invasion_604,0
Invasion_605,0
Invasion_606,0
Invasion_607,0
Invasion_608,0
Invasion_609,0
Invasion_610,0
Invasion_611,4
Invasion_612,4
Invasion_613,0
Invasion_614,0
Invasion_615,0
Invasion_616,0
Invasion_617,0
Invasion_618,0
Invasion_619,0
Invasion_620,0
Invasion_621,0
Invasion_622,0
Invasion_623,0
Invasion_624,0
Invasion_625,0
Invasion_626,4
Invasion_627,4
Invasion_628,4
Invasion_629,4
Invasion_630,4
Invasion_631,4
Invasion_632,4
Invasion_633,4
Invasion_634,4
Invasion_635,4
Invasion_636,4
Invasion_637,4
Invasion_638,4
Invasion_639,4
Invasion_640,4
Invasion_641,4
Invasion_642,4
Invasion_643,4
Invasion_644,4
Invasion_645,4
Invasion_646,4
Invasion_647,4
Invasion_648,4
Invasion_649,4
Invasion_650,4
Invasion_651,4
Invasion_652,4
Invasion_653,4
Invasion_654,4
Invasion_655,4
Invasion_656,4
Invasion_657,4
Invasion_658,4
Invasion_659,4
Invasion_660,4
Invasion_661,4
Invasion_662,4
Invasion_663,4
Invasion_664,4
Invasion_665,3
Invasion_666,4
Invasion_667,4
Invasion_668,4
Invasion_669,4
Invasion_670,4
Invasion_671,4
Invasion_672,4
Invasion_673,4
Invasion_674,4
Invasion_675,4
Invasion_676,4
Invasion_677,4
Invasion_678,4
Invasion_679,4
Invasion_680,4
Invasion_681,4
Invasion_682,4
Invasion_683,4
Invasion_684,4
Invasion_685,4
Invasion_686,4
Invasion_687,4
Invasion_688,4
Invasion_689,4
Invasion_690,4
Invasion_691,4
Invasion_692,4
Invasion_693,4
Invasion_694,4
Invasion_695,4
Invasion_696,4
Invasion_697,4
Invasion_698,4
Invasion_699,4
Invasion_700,4
Invasion_701,4
Invasion_702,4
Invasion_703,4
Invasion_704,4
Invasion_705,4
Invasion_706,4
Invasion_707,4
Invasion_708,4
Invasion_709,4
Invasion_710,4
Invasion_711,4
Invasion_712,4
Invasion_713,4
Invasion_714,4
Invasion_715,4
Invasion_716,4
Invasion_717,4
Invasion_718,3
Invasion_719,4
Invasion_720,4
Invasion_721,4
Invasion_722,4
Invasion_723,4
Invasion_724,4
Invasion_725,4
Invasion_726,4
Invasion_727,4
Invasion_728,4
Invasion_729,4
Invasion_730,4
Invasion_731,4
Invasion_732,4
Invasion_733,4
Invasion_734,4
Invasion_735,4
Invasion_736,4
Invasion_737,4
Invasion_738,4
Invasion_739,4
Invasion_740,4
Invasion_741,4
Invasion_742,4
Invasion_743,4
Invasion_744,4
Invasion_745,4
Invasion_746,4
Invasion_747,4
Invasion_748,4
Invasion_749,4
Invasion_750,4
Invasion_751,4
Invasion_752,4
Invasion_753,4
Invasion_754,4
Invasion_755,4
Invasion_756,4
Invasion_757,4
Invasion_758,4
Invasion_759,4
Invasion_760,4
Invasion_761,4
Invasion_762,4
Invasion_763,4
Invasion_764,4
Invasion_765,4
Invasion_766,4
Invasion_767,4
Invasion_768,4
Invasion_769,4
Invasion_770,4
Invasion_771,4
Invasion_772,4
Invasion_773,4
Invasion_774,4
Invasion_775,4
Invasion_776,4
Invasion_777,4
Invasion_778,4
Invasion_779,4
Invasion_780,4
Invasion_781,4
Invasion_782,4
Invasion_783,4
Invasion_784,4
Invasion_785,4
Invasion_786,4
Invasion_787,4
Invasion_788,4
Invasion_789,4
Invasion_790,4
Invasion_791,4
Invasion_792,4
Invasion_793,4
Invasion_794,4
Invasion_795,4
Invasion_796,4
Invasion_797,4
Invasion_798,4
Invasion_799,4
Invasion_800,4
Invasion_801,4
Invasion_802,4
Invasion_803,4
Invasion_804,4
Invasion_805,4
Invasion_806,4
Invasion_807,4
Invasion_808,4
Invasion_809,4
Invasion_810,4
Invasion_811,4
Invasion_812,4
Invasion_813,4
Invasion_814,4
Invasion_815,4
Invasion_816,4
Invasion_817,4
Invasion_818,4
Invasion_819,4
Invasion_820,4
Invasion_821,4
Invasion_822,4
Invasion_823,4
Invasion_824,4
Invasion_825,4
Invasion_826,4
Invasion_827,4
Invasion_828,4
Invasion_829,4
Invasion_830,4
Invasion_831,4
Invasion_832,4
Invasion_833,4
Invasion_834,4
Invasion_835,4
Invasion_836,4
Invasion_837,4
Invasion_838,4
Invasion_839,4
Invasion_840,4
Invasion_841,4
Invasion_842,4
Invasion_843,4
Invasion_844,4
Invasion_845,4
Invasion_846,4
Invasion_847,4
Invasion_848,4
Invasion_849,4
Invasion_850,4
Invasion_851,4
Invasion_852,4
Invasion_853,4
Invasion_854,4
Invasion_855,4
Invasion_856,4
Invasion_857,4
Invasion_858,4
Invasion_859,4
Invasion_860,4
Invasion_861,4
Invasion_862,4
Invasion_863,4
Invasion_864,4
Invasion_865,4
Invasion_866,4
Invasion_867,4
Invasion_868,4
Invasion_869,4
Invasion_870,4
Invasion_871,4
Invasion_872,4
Invasion_873,4
Invasion_874,4
Invasion_875,4
Invasion_876,4
Invasion_877,4
Invasion_878,4
Invasion_879,4
Invasion_880,4
Invasion_881,4
Invasion_882,4
Invasion_883,4
Invasion_884,4
Invasion_885,4
Invasion_886,4
Invasion_887,4
Invasion_888,4
Invasion_889,4
Invasion_890,4
Invasion_891,4
Invasion_892,4
Invasion_893,4
Invasion_894,4
Invasion_895,4
Invasion_896,4
Invasion_897,4
Invasion_898,4
Invasion_899,4
Invasion_900,4
Invasion_901,4
Invasion_902,4
Invasion_903,4
Invasion_904,4
Invasion_905,4
Invasion_906,4
Invasion_907,4
Invasion_908,4
Invasion_909,4
Invasion_910,4
Invasion_911,4
Invasion_912,4
Invasion_913,4
Invasion_914,4
Invasion_915,4
Invasion_916,4
Invasion_917,4
Invasion_918,4
Invasion_919,4
Invasion_920,4
Invasion_921,4
Invasion_922,4
Invasion_923,4
Invasion_924,4
Invasion_925,4
Invasion_926,4
Invasion_927,4
Invasion_928,4
Invasion_929,4
Invasion_930,4
Invasion_931,4
Invasion_932,4
Invasion_933,4
Invasion_934,4
Invasion_935,4
Invasion_936,4
Invasion_937,4
Invasion_938,4
Invasion_939,4
Invasion_940,4
Invasion_941,4
Invasion_942,4
