,Cluster
bn511,4
bn180,1
bn239,2
bn371,1
bn331,1
bn563,4
bn182,3
bn284,1
bn84,3
bn2,2
bn276,3
bn497,1
bn366,1
bn133,2
bn6,2
bn554,1
bn202,1
bn357,1
bn278,2
bn336,1
bn59,3
bn92,2
bn52,3
bn414,1
bn77,1
bn365,1
bn526,1
bn363,1
bn281,2
bn47,1
bn361,1
bn153,2
bn280,1
bn330,2
bn108,2
bn335,1
bn17,1
bn496,4
bn68,2
bn76,2
bn114,2
bn378,1
bn219,1
bn359,2
bn266,1
bn216,1
bn292,2
bn151,1
bn350,1
bn142,1
bn424,1
bn225,1
bn232,1
bn124,2
bn286,1
bn372,1
bn275,1
bn113,4
bn327,3
bn583,2
bn1,2
bn438,1
bn56,1
bn344,1
bn505,1
bn385,4
bn214,1
bn187,2
bn248,1
bn251,1
bn419,2
bn474,2
bn163,4
bn174,1
bn535,2
bn590,2
bn94,2
bn472,3
bn420,1
bn570,1
bn71,1
bn190,1
bn484,2
bn433,1
bn195,1
bn147,3
bn481,1
bn437,1
bn51,3
bn463,2
bn19,1
bn48,1
bn577,3
bn403,3
bn43,1
bn605,2
bn409,1
bn538,1
bn103,4
bn413,4
bn569,1
bn69,1
bn520,1
bn247,2
bn198,1
bn221,1
bn312,1
bn435,4
bn272,1
bn208,2
bn121,4
bn78,1
bn531,3
bn582,1
bn262,2
bn446,1
bn555,1
bn325,1
bn346,4
bn418,2
bn358,2
bn561,1
bn376,1
bn477,1
bn102,1
bn243,1
bn258,2
bn213,1
bn274,1
bn264,2
bn360,2
bn508,2
bn89,3
bn234,2
bn502,1
bn291,2
bn220,1
bn117,1
bn241,1
bn285,3
bn188,1
bn126,1
bn66,3
bn310,1
bn22,1
bn217,4
bn15,4
bn200,1
bn356,1
bn364,1
bn504,1
