,TF1,G1,G2,G3,TF2,G4,G5,G6,TF6,G7,G8,G9,TF3,TF4,TF5,TF7,model_id,timepoint
0,0.36816300000000013,0.10253700000000004,0.10488500000000002,0.101325,0.000287,1.2e-05,1.8e-05,9.999999999999999e-06,0.73716,0.9197149999999995,0.9195449999999995,0.9206719999999998,0.003489999999999999,0.018822000000000016,0.08088699999999997,0.6332729999999993,bn3,0.0
1,0.7682910000000018,0.43733500000000003,0.44109199999999965,0.43102099999999965,0.00419,0.0015340000000000002,0.0014210000000000004,0.0014570000000000002,0.6681030000000004,0.7576230000000008,0.7549930000000008,0.7576640000000003,0.04799700000000004,0.12333199999999994,0.24573200000000037,0.236984,bn3,1.0
2,0.9159199999999988,0.7086199999999996,0.7045969999999996,0.7086549999999993,0.009202000000000004,0.005005000000000002,0.0053250000000000025,0.004983000000000003,0.786548,0.7457409999999999,0.7402409999999997,0.7450070000000001,0.13714000000000034,0.21187600000000015,0.2575219999999996,0.08767299999999993,bn3,2.0
3,0.9676939999999981,0.8619579999999989,0.8590389999999993,0.8657429999999995,0.009230000000000004,0.007890000000000008,0.008454000000000001,0.007929000000000004,0.8897899999999977,0.8119969999999987,0.8110239999999991,0.8116459999999989,0.19230400000000028,0.21787000000000006,0.19228400000000007,0.03155000000000001,bn3,3.0
4,0.9884319999999989,0.9377009999999996,0.9362729999999997,0.9369789999999993,0.005856000000000003,0.006883,0.00801,0.008036,0.9490439999999994,0.8866319999999995,0.8827749999999993,0.8843589999999999,0.19309400000000027,0.17219000000000018,0.11896300000000004,0.011460999999999999,bn3,4.0
5,0.9956290000000004,0.9718950000000001,0.9731000000000004,0.9715600000000003,0.0030870000000000003,0.005066999999999997,0.005586999999999996,0.005411999999999997,0.9779520000000005,0.9379660000000005,0.9365870000000004,0.9367010000000006,0.15882400000000008,0.115909,0.065383,0.003839,bn3,5.0
6,0.9985450000000001,0.9874029999999999,0.9897579999999999,0.9880450000000002,0.001222,0.003115999999999999,0.003475999999999998,0.0034669999999999987,0.9919800000000002,0.9686950000000002,0.9691280000000001,0.9694520000000001,0.11520800000000003,0.07163100000000001,0.03259300000000001,0.001422,bn3,6.0
7,0.9995780000000003,0.9949680000000003,0.9956270000000004,0.9947140000000002,0.000601,0.001683,0.001745,0.0020069999999999997,0.9974070000000004,0.9852430000000001,0.9845340000000002,0.9855190000000003,0.07446100000000001,0.037853000000000005,0.014133999999999999,0.000471,bn3,7.0
8,0.9997199999999999,0.997751,0.9976139999999999,0.99765,0.000328,0.000884,0.0008720000000000002,0.0008790000000000001,0.9987699999999999,0.994597,0.993087,0.993945,0.04368400000000001,0.018911000000000004,0.006758999999999999,0.000189,bn3,8.0
9,0.9997699999999999,0.9988519999999999,0.9985779999999999,0.9991189999999999,0.00016600000000000002,0.0005020000000000001,0.00044300000000000003,0.000224,0.9998609999999999,0.997925,0.997041,0.9978039999999999,0.023855,0.009393,0.0023099999999999996,6.5e-05,bn3,9.0
10,0.999902,0.9994359999999999,0.9993879999999999,0.999779,9.9e-05,0.00011099999999999999,0.000247,9.999999999999999e-05,0.999902,0.999166,0.9990739999999999,0.998875,0.012979999999999998,0.004855000000000001,0.001,0.0,bn3,10.0
11,0.9999699999999999,0.9997969999999998,0.9997949999999999,0.9999999999999999,0.0,0.000101,0.000101,2.7e-05,0.9999099999999999,0.999585,0.9995839999999999,0.9995609999999999,0.007179,0.002828,0.00042699999999999997,0.0,bn3,11.0
