,"Invasion_simulation_50.csv","Invasion_simulation_100.csv","Invasion_simulation_250.csv","Invasion_simulation_500.csv","Invasion_simulation_750.csv","Invasion_simulation_1000.csv","Invasion_simulation_2500.csv","Invasion_simulation_5000.csv","Invasion_simulation_7500.csv","Invasion_simulation_10000.csv"
0,0,0,0,0,0,0,0,0,0,0
1,0.241012651983193,0.249047223984193,0.252189116909227,0.253873034865469,0.252276578596647,0.257095541052183,0.253923433376293,0.252222979694584,0.253923433376293,0.257133927126967
2,0.269444945084925,0.746887337257417,0.748763822251634,0.743612489812067,0.270560749852049,0.270477024292411,0.269203736336341,0.269203736336341,0.270526693029139,0.272102574387298
3,0.297032844717102,0.574778655292392,0.781608677244139,0.783064452958863,0.779965055616005,0.281228092186216,0.776771170864988,0.772396697172846,0.772023741896871,0.773326054144187
4,0.349188899150201,0.579301655062651,0.795830757078495,0.796479852459642,0.794463137955465,0.796797569445166,0.793856555033372,0.794513904086899,0.794447357883478,0.794245835181324
5,0.580954048881524,0.593080853930734,0.800599393929376,0.800122451157345,0.779199611341946,0.781635284753048,0.778571786432753,0.799670559850303,0.79924549803891,0.778664265459997
6,0.566243436612452,0.599972885194626,0.801811706785457,0.784530995931078,0.780899295928105,0.783343699467118,0.780397277833732,0.784577307483085,0.801881843702437,0.779815606904661
7,0.597069619443536,0.3951206424872,0.786155647982818,0.786900202486159,0.803524991450679,0.790101253852857,0.784406988953699,0.78475399399818,0.49322369862153,0.804303345488905
8,0.597107256476269,0.397492197930474,0.535661397044142,0.789867936319738,0.788559248576927,0.790128121144506,0.786744821370779,0.463975065491035,0.463349903059183,0.806337240538439
9,0.378439901813257,0.398531981172865,0.537563893193849,0.468708484121474,0.789842861430913,0.541275386236358,0.465902271152381,0.466248524943105,0.467802790414416,0.791464852217478
10,0.308302114416292,0.365012958067957,0.465483476807617,0.471458679861907,0.468878134748422,0.344374566978445,0.469376581124644,0.463644736991991,0.469051862203005,0.470437209606942
11,0.261609522255799,0.367974661885045,0.468986714288962,0.471709264340494,0.471715751449407,0.345152138232745,0.472148752818081,0.461303733913957,0.472115298657626,0.472431280762288
12,0.267182047631991,0.370888073708825,0.468851460551622,0.474208359809713,0.471779889768943,0.346935700014661,0.344912271941497,0.464684102331574,0.472207530984128,0.469868064150396
13,0.274183038616193,0.285294364361461,0.360351166445736,0.338399323423756,0.46925263141328,0.347836213570315,0.344979170136342,0.467373478651021,0.33420585637924,0.472338548080233
14,0.258952209694837,0.28759217904438,0.291701077781783,0.339623535534816,0.471855629010586,0.274945134497911,0.347100925277248,0.468272985545389,0.299678378155479,0.333042847538104
