,"Toll Pathway of Drosophila Signaling Pathway_23868318","HH Pathway of Drosophila Signaling Pathways_23868318","VEGF Pathway of Drosophila Signaling Pathway_23868318","FGF pathway of Drosophila Signaling Pathways_23868318","toy_reprogramming","HCC1954 Breast Cell Line Short-term ErbB Network_24970389","SKBR3 Breast Cell Line Long-term ErbB Network_24970389","BT474 Breast Cell Line Long-term ErbB Network_24970389","B cell differentiation_26751566","HCC1954 Breast Cell Line Long-term ErbB Network_24970389","Body Segmentation in Drosophila 2013_23520449","SKBR3 Breast Cell Line Short-term ErbB Network_24970389","Human Gonadal Sex Determination_26573569","test_bonesis","Death Receptor Signaling_20221256","Mammalian Cell Cycle_19118495","synthetic_random_diff","Cardiac development_23056457","Processing of Spz Network from the Drosophila Signaling Pathway_23868318","Lac Operon_21563979","Cortical Area Development_20862356","Regulation of the L-arabinose operon of Escherichia coli_28639170"
0,1,1,0.996116006450617,0.99175274576603,1,0.871790019451099,0.971662063863391,0.68348245159128,0.89579037472881,0.272911573623975,0.769882505015632,0.791038668511897,0.270062875522211,1,1,0.698900203450855,1,0.84923091952939,1,0.895298262049401,0.032524675819016,0.914758105383781
1,1,1,0.996116006450617,0.987598510119682,1,0.866171752847203,0.96261075844538,0.685382980899247,0.902513645045075,0.261548931347288,0.788110366301163,0.797880666917783,0.221725636716172,1,1,0.692975143081973,1,0.850245488185714,1,0.951696629822,0.032524675819016,0.990444436666866
2,1,1,0.998059879279979,0.987598510119682,1,0.868648067719961,0.967099336894627,0.707701610823967,0.89715151524235,0.263843104214716,0.82179011390685,0.805553792504393,0.221524948647055,1,1,0.853538241274669,1,0.685890751882343,0.993777388954213,0.957613154478666,0.032524675819016,0.990798435137757
3,1,1,0.996116006450617,0.98678264509702,1,0.859071762028956,0.967426076200261,0.667223699763972,0.914047443507262,0.275346769159539,0.783300440003253,0.776150948882001,0.270062875522211,1,1,0.853827387498283,1,0.850245488185714,0.994559369798583,0.890257791106467,0.032524675819016,0.904018283358877
4,1,1,0.998059879279979,0.994241135680655,1,0.843624259991863,0.965967720395325,0.673231212942705,0.894020065841276,0.260416539500123,0.804514324930934,0.771236609701865,0.270062875522211,1,1,0.692975143081973,1,0.850245488185714,0.994559369798583,0.886969131768294,0.032265386821437,0.922584276078776
5,1,1,0.998059879279979,0.99175274576603,1,0.855401155659108,0.964170494481686,0.690878841950959,0.897531137715412,0.269261671566269,0.797796887918746,0.806178099268866,0.270062875522211,1,1,0.853827387498283,1,0.84923091952939,0.993777388954213,0.892040934789018,0.032265386821437,0.934401910968292
6,1,1,0.996116006450617,0.985105928307682,1,0.854767365087482,0.960991602415442,0.696614686676228,0.900866173978979,0.27479836835512,0.789866270121769,0.794071490016875,0.270062875522211,1,1,0.853827387498283,1,0.68639227073916,1,0.895514205620271,0.03220911503414,0.906015272801849
7,1,1,0.998059879279979,0.99175274576603,1,0.852300334709872,0.963745620975682,0.688952546398591,0.900832082374868,0.262466666306059,0.775743149729229,0.818140876002246,0.270062875522211,1,1,0.853538241274669,1,0.850245488185714,1,0.961609423171505,0.03220911503414,0.912103224913473
8,1,1,0.996603147985414,0.99175274576603,1,0.866623252084299,0.963745620975682,0.648412410542419,0.895585801148298,0.264678439646152,0.765701534728448,0.767747522341504,0.270062875522211,1,1,0.692975143081973,1,0.84923091952939,0.994559369798583,0.961745034497556,0.032524675819016,0.94084279216996
9,1,1,0.998059879279979,0.99175274576603,1,0.840071255486834,0.968309556295056,0.689969164324545,0.908403405339504,0.251105652699216,0.775461654588829,0.826547655277019,0.270062875522211,1,1,0.853319339674178,1,0.84923091952939,1,0.96107239830826,0.032265386821437,0.880934592182126
