,Invasion_simulation_1000.csv,Invasion_simulation_2500.csv,Invasion_simulation_5000.csv,Invasion_simulation_7500.csv,Invasion_simulation_10000.csv
0,0.0,0.0,0.0,0.0,0.0
1,0.25709554105218263,0.253923433376293,0.25222297969458435,0.253923433376293,0.25713392712696737
2,0.2704770242924106,0.26920373633634054,0.26920373633634054,0.27052669302913857,0.27210257438729846
3,0.2812280921862158,0.7767711708649883,0.7723966971728456,0.7720237418968705,0.7733260541441865
4,0.796797569445166,0.793856555033372,0.7945139040868994,0.7944473578834779,0.7942458351813245
5,0.7816352847530479,0.7785717864327526,0.7996705598503034,0.7992454980389101,0.7786642654599967
6,0.7833436994671185,0.7803972778337319,0.7845773074830851,0.8018818437024371,0.7798156069046611
7,0.7901012538528575,0.7844069889536989,0.7847539939981796,0.4932236986215296,0.8043033454889055
8,0.790128121144506,0.7867448213707792,0.463975065491035,0.4633499030591827,0.806337240538439
9,0.5412753862363582,0.46590227115238086,0.46624852494310515,0.4678027904144162,0.7914648522174779
10,0.34437456697844526,0.46937658112464403,0.46364473699199094,0.46905186220300515,0.47043720960694185
11,0.34515213823274515,0.47214875281808133,0.4613037339139574,0.4721152986576262,0.47243128076228785
12,0.3469357000146614,0.3449122719414974,0.46468410233157365,0.47220753098412827,0.46986806415039556
13,0.34783621357031486,0.344979170136342,0.46737347865102047,0.3342058563792404,0.472338548080233
14,0.2749451344979115,0.3471009252772482,0.4682729855453894,0.29967837815547943,0.3330428475381044
15,0.2765572306998971,0.31912744404815235,0.46885108305077583,0.3020158571932746,0.333798448967465
16,0.2766545909001219,0.3201512563533711,0.46889384642624327,0.29791867510449227,0.33433790982450073
17,0.27093218073781217,0.31560156356408997,0.33343364115567814,0.29910245499806903,0.33502543417981706
18,0.2710968508518605,0.2574369902396194,0.2947583894807304,0.2997035953862262,0.3353693581982599
19,0.27166113947572434,0.25817702867714504,0.2963203994963685,0.30000184397057783,0.32159473772669883
20,0.25018761714857385,0.25772546757781706,0.29759458981972664,0.3009555172892106,0.3003499477241904
21,0.250270893803082,0.2593943954603824,0.2975112353179572,0.3010399989081782,0.2521959534406813
22,0.2506294197530451,0.25649610313672716,0.2993764276731891,0.29889802666544407,0.2522037872669908
23,0.25136290748072354,0.25635900685225477,0.2999578459447813,0.29933871617428065,0.22956691777431423
24,0.251370742991168,0.25858801581370344,0.30013359625269376,0.2995759859422404,0.2295679415017189
25,0.2521048200819476,0.22849016619503976,0.29597580992666966,0.29949542402309665,0.23004383009501014
26,0.2526601420213426,0.214398836196633,0.25317151058308274,0.2996561318655426,0.23014137467400078
27,0.2527801964532223,0.21450426024574273,0.25323864088130693,0.2977426641115885,0.23025844003677923
28,0.25149096405312604,0.20976759035761516,0.25364509697104076,0.2977809307341574,0.22743004467451136
29,0.2279351769219454,0.21021190116028735,0.20094202102037764,0.29360333209110573,0.22885959780700307
30,0.18409052058050074,0.21059874955332514,0.1794636588998785,0.2432096776387437,0.21305101364446682
31,0.18387551361245844,0.17872886131557986,0.16593847303040452,0.24402687554741104,0.2130421552388441
32,0.18490113430924363,0.155922256633954,0.16618294846317563,0.24412558911411633,0.21327082535008995
33,0.18496714536653663,0.1559299998978069,0.15978526538278587,0.24432469639205043,0.21357448160109938
34,0.18500814563314588,0.15660204206607292,0.15994348250173385,0.2443957883946849,0.192302945667331
35,0.18515350365658595,0.1571974929843667,0.1451331550454215,0.24493242469354087,0.1473113828821414
36,0.16621669717904572,0.15758657750422386,0.13060252739166223,0.24505097921377042,0.1408948361867552
37,0.16113415621034174,0.14307110489323147,0.1310916816198109,0.24508539515426156,0.14132384232319173
38,0.16113803689008738,0.14309837802780345,0.13181031426589163,0.22623316400280136,0.14129962397182994
39,0.1613126827030286,0.14056623803545368,0.13192689752773576,0.22624891401133493,0.14138061122581516
