,Toll Pathway of Drosophila Signaling Pathway_23868318,HH Pathway of Drosophila Signaling Pathways_23868318,Cortical Area Development_20862356,VEGF Pathway of Drosophila Signaling Pathway_23868318,FGF pathway of Drosophila Signaling Pathways_23868318,toy_reprogramming,HCC1954 Breast Cell Line Short-term ErbB Network_24970389,SKBR3 Breast Cell Line Long-term ErbB Network_24970389,BT474 Breast Cell Line Long-term ErbB Network_24970389,B cell differentiation_26751566,HCC1954 Breast Cell Line Long-term ErbB Network_24970389,Body Segmentation in Drosophila 2013_23520449,SKBR3 Breast Cell Line Short-term ErbB Network_24970389,Human Gonadal Sex Determination_26573569,test_bonesis,Regulation of the L-arabinose operon of Escherichia coli_28639170,Death Receptor Signaling_20221256,Mammalian Cell Cycle_19118495,synthetic_random_diff,Cardiac development_23056457,Processing of Spz Network from the Drosophila Signaling Pathway_23868318,Lac Operon_21563979
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0.29906542056074764,0.0,0.13610308461749876,0.003316462322728304,0.0021102152141237508,0.0,0.010516467115098366,0.0860198802596374,0.015289119155693092,0.006732137762904523,0.002237323949985206,0.031621843888318214,0.014332740851789354,0.44230748329757685,1.0,0.032519064147735505,0.16008355655790796,0.7566053740741511,,0.8390376626922128,0.01713548374853767,0.06728362241480129
2,0.4198895027624309,0.0,0.03308697532716686,0.008223491387936889,0.004301487511325744,0.0,0.021347945297822916,0.16475787601342928,0.02894966684624856,0.013283856997276485,0.006105255116550692,0.09738130456096869,0.026523429119095505,0.3145027277165793,,0.06058061017613313,0.2933186847936091,0.8105766061621628,,0.8408752461999464,0.035042349362609776,0.1469915275831052
3,0.5945945945945946,0.0,0.03815649929191545,0.010503238645714758,0.006555171765330777,0.0,0.03334175880242714,0.20362753032771003,0.0386722249245244,0.02009634068828307,0.010884078179424756,0.13134748860361492,0.043472719569256385,0.32181994087068877,,0.09765339929430807,0.36281357383513263,0.9928374695020267,,0.9710127473597009,0.051788390700499384,0.1787329930824157
4,0.7619047619047619,0.0,0.03226538682143729,0.013282525547734658,0.009171777047831509,0.0,0.03792125725644258,0.2576879161860029,0.05368454324767745,0.025952331639009223,0.011030873283922627,0.18076969597839004,0.05262163864416448,0.28168888167722517,,0.11632966000051675,0.41289921292502935,0.8434910651848754,,0.8476112459109065,0.065191431712809,0.2696292984934142
5,1.0,0.0,,0.016230313664513513,0.009672364653562991,0.0,0.05113452074110008,0.27368788266741023,0.06460855806117834,0.03178833466292947,0.013874427230401998,0.19188803686937914,0.06388248256430118,0.2700628755222109,,0.15036592085778805,0.5489450246888674,0.8500483345783839,,0.8502454881857142,0.07324987468673536,0.3358041537773516
6,,0.0,,0.01815776844977266,0.012198607190565943,0.0,0.06297105879956374,0.33922457943235496,0.0799180172877213,0.03942515575916145,0.015906210709493777,0.2188538195424335,0.07685148054480202,,,0.16842690155589934,0.5701192136650414,0.6929751430819734,,,0.08199344581027111,0.37336149768040205
7,,0.0,,0.025655041429496053,0.011925568481482813,1.0,0.07639852936494282,0.464347266779761,0.0890825181697589,0.041933124543942206,0.018758578468988974,0.2789215048034737,0.07967096013826178,,,0.19539721076699842,0.7598885566876322,,,,0.11259673392495118,0.42251636102945506
8,,0.0,,0.02938667875648595,0.015378465656706296,,0.08434754257272403,0.5057909276647977,0.10645280334355756,0.04716864668166858,0.022170599113433106,0.3424160433737992,0.08462029498683504,,,0.22798378945526115,0.7951613422837379,,,,0.12641720221307712,0.4421104960859883
9,,0.0,,0.034019443005628036,0.018970817528457685,,0.08841607474659395,0.5397439237503642,0.12341915927793579,0.050896606029043875,0.02224945991824418,0.37616163601041025,0.11451360639848203,,,0.23937582853635833,0.8323495337448256,,,,0.1355706593546192,0.46996141378984707
10,,0.0,,0.038404699428459046,0.019963460084181157,,0.09803362366045379,0.5727205785968598,0.13361668469871854,0.058578433258522314,0.02691870509801153,0.4052815376320308,0.12189689453005917,,,0.2642934519884325,0.8738459144758961,,,,0.14521077039365252,0.49890955388613245
11,,0.0,,0.042053040113031785,0.021123153006428846,,0.10721921093976042,0.6298287206553459,0.1462844511614493,0.06260140033169881,0.028300997627164006,0.42571269084539226,0.13326001945262825,,,0.27589073148776755,0.9173415131528534,,,,0.1666877915075961,0.5694063356460958
12,,0.0,,0.04634009721624865,0.02174920064394985,,0.12042167619198596,0.6551418972997648,0.1602844301954291,0.0669994446229798,0.02922286813640437,0.45998467292338874,0.13835198835875825,,,0.29917697596242254,0.9661874715349604,,,,0.18119628672304225,0.6263192276580238
