,Invasion_simulation_50.csv,Invasion_simulation_100.csv,Invasion_simulation_250.csv,Invasion_simulation_500.csv,Invasion_simulation_750.csv,Invasion_simulation_1000.csv
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.2410126519831927,0.24904722398419257,0.2521891169092267,0.2538730348654695,0.2522765785966473,0.25709554105218263
2,0.2694449450849248,0.7468873372574167,0.7487638222516337,0.7436124898120671,0.2705607498520492,0.2704770242924106
3,0.2970328447171023,0.5747786552923922,0.7816086772441385,0.7830644529588635,0.7799650556160055,0.2812280921862158
4,0.34918889915020085,0.5793016550626507,0.7958307570784946,0.7964798524596423,0.7944631379554652,0.796797569445166
5,0.5809540488815238,0.5930808539307341,0.8005993939293761,0.8001224511573451,0.7791996113419463,0.7816352847530479
6,0.5662434366124522,0.5999728851946263,0.8018117067854574,0.7845309959310776,0.7808992959281045,0.7833436994671185
7,0.5970696194435362,0.39512064248719997,0.786155647982818,0.786900202486159,0.8035249914506791,0.7901012538528575
8,0.5971072564762694,0.3974921979304742,0.5356613970441425,0.7898679363197381,0.7885592485769267,0.790128121144506
9,0.37843990181325743,0.39853198117286487,0.5375638931938489,0.4687084841214737,0.7898428614309125,0.5412753862363582
10,0.3083021144162918,0.36501295806795675,0.4654834768076174,0.4714586798619068,0.4688781347484217,0.34437456697844526
11,0.261609522255799,0.3679746618850454,0.4689867142889616,0.47170926434049376,0.4717157514494069,0.34515213823274515
12,0.267182047631991,0.37088807370882465,0.46885146055162225,0.47420835980971343,0.4717798897689426,0.3469357000146614
13,0.274183038616193,0.28529436436146094,0.3603511664457359,0.3383993234237558,0.4692526314132797,0.34783621357031486
14,0.25895220969483657,0.2875921790443796,0.2917010777817833,0.33962353553481606,0.4718556290105857,0.2749451344979115
15,0.19733302107312115,0.2746133960063043,0.24910731909443795,0.29197397878570763,0.33838555254101355,0.2765572306998971
16,0.19974366319573061,0.27292724733908225,0.2508655552719484,0.29199744572935027,0.3389364560469215,0.2766545909001219
17,0.19517937461702778,0.2667021613312332,0.25194907766557895,0.29264696423767816,0.3396444361439771,0.27093218073781217
18,0.16438532795349378,0.2673795143785957,0.24510477293789823,0.2931676378697904,0.29738031690972266,0.2710968508518605
19,0.16060173863984192,0.2689662963213518,0.2460927774338135,0.29414863088206444,0.2993087956005212,0.27166113947572434
20,0.19806769516009215,0.24153668324143132,0.26925526936322913,0.24860148245101302,0.29838596483520635,0.25018761714857385
21,0.1790532590820336,0.1945848208361647,0.269762841190439,0.24868692731370245,0.3000300677803186,0.250270893803082
22,0.17974163966100754,0.1929249050563922,0.26367169359607184,0.2500203095715644,0.24828312790569163,0.2506294197530451
23,0.18045758932259248,0.19327147978420917,0.2640462954742965,0.24308820214295715,0.20501091527769155,0.25136290748072354
24,0.18117083823424354,0.19509361635356715,0.2649094432960407,0.24357100578710708,0.2053299297524851,0.251370742991168
25,0.1814960221450907,0.19581705161631738,0.2638473464949619,0.24410788921606236,0.2054102538140098,0.2521048200819476
26,0.15057030349631415,0.19596244841135785,0.26382970196718925,0.24337009168417842,0.18707872868192804,0.2526601420213426
27,0.15111287127376674,0.16841620381886147,0.2436544856323498,0.24357091101683231,0.18730702938552468,0.2527801964532223
28,0.13541623466260483,0.16983132458965947,0.24392078016883414,0.24382081932276803,0.1873410221206141,0.25149096405312604
29,0.13556878859318666,0.14855348740021954,0.24415155375018394,0.22480017393571283,0.18775384617697813,0.2279351769219454
30,0.13457439057566992,0.148668179910217,0.19853776693150704,0.22466871131157257,0.18884996368459334,0.18409052058050074
31,0.13360714488696832,0.1395544811411675,0.19868416951017578,0.18912179894330705,0.1890558937395798,0.18387551361245844
32,0.11555119281989035,0.1403961551371293,0.19914163704482438,0.17106725857265187,0.1891489363054357,0.18490113430924363
33,0.10313570696903435,0.14046736204467336,0.18169200261951596,0.15612480309005722,0.18916383972777548,0.18496714536653663
34,0.09555276806761581,0.14077323340375497,0.18204501939936693,0.15624576138656784,0.1842554786966095,0.18500814563314588
35,0.09394615273976333,0.13272439358869986,0.18211952443902898,0.15640084990610656,0.18431878350198344,0.18515350365658595
36,0.09404573601697797,0.1306815754274679,0.1822136437393603,0.1563584420896144,0.1707772128558962,0.16621669717904572
37,0.09448567393120451,0.13092367628507476,0.18226052039149346,0.1421940658958764,0.17086631740338803,0.16113415621034174
38,0.09193801039760079,0.1310102937518658,0.18227620807013659,0.14226021146640008,0.17087019681619675,0.16113803689008738
39,0.09123178935839121,0.13108417551499374,0.16662107648263752,0.14265569684952056,0.1709089917489035,0.1613126827030286
40,0.09138615821577972,0.13108806417872515,0.16669925389903856,0.12753465002973724,0.17125498089849422,0.1463273461329698
41,0.08350541413502716,0.13147247662639353,0.1562883030133097,0.1275385292808157,0.16702958436215257,0.1467340084643685
42,0.08003704450695703,0.12884817928376063,0.14060524188044643,0.12026282593074741,0.1674760162131059,0.14419563106052286
43,0.08006013789841582,0.12756489222417977,0.1217020238485445,0.12089716680816151,0.1543677488568785,0.14478845232673132
44,0.08007267791498877,0.12249281028233448,0.11562777393326747,0.12092041890464421,0.13909110190848295,0.14502707612453397
45,0.0770903922861145,0.12258517500363172,0.1156702802177145,0.10904863120843462,0.13897872194083385,0.14525714587666766
46,0.07712116281357581,0.10670586687745261,0.11078064906548611,0.1091804518153673,0.13899932998716913,0.14117761539294577
47,0.07723656088045014,0.10677174820932325,0.11124092892869163,0.10927708535766627,0.13917666525906303,0.13110994507233936
48,0.07390567728087857,0.10554641976759295,0.11127182279677156,0.10930027880024097,0.12259190006522078,0.1273654189169706
49,0.0739977165060451,0.10556193419909912,0.11128727008910465,0.108198292613344,0.12274400144516759,0.12042868084076304
50,0.07150691319997339,0.10572255839928156,0.11136837229293427,0.10838610991397339,0.11831092126548667,0.12046373048258437
51,0.07156838113019642,0.09608346181229026,0.10628090556273702,0.10844540344870066,0.11835737639963875,0.12039844120273206
52,0.07206046532144605,0.08681153569226628,0.10524596973267086,0.10457099459077916,0.1125786738859026,0.12036238171224496
53,0.0721296565178688,0.0860274576822118,0.10534074501779855,0.10459419850942288,0.10983956048048561,0.12160937269269396
54,0.07452428111280242,0.08301569755862774,0.09483688957156458,0.11112433642943928,0.12064759928967066,0.10715891253259184
55,0.07455152926793532,0.0822921538481794,0.0951118674160295,0.10200611712075602,0.12084947977826346,0.10722105678522777
56,0.07283936862757487,0.08245466146093561,0.09520696058677397,0.10210666328601939,0.12088054191925597,0.099652024082843
57,0.0728625289355853,0.0825127063952977,0.09522241905697769,0.09906589821522292,0.1209038391558309,0.09965238636830044
58,0.06546302692512741,0.08260558540855135,0.0952687959145377,0.09524728801061397,0.12235935603646136,0.09966789514807735
59,0.0656637327192154,0.08155143413627039,0.09181294584312169,0.09525501774967234,0.12253289376577466,0.0999640646635195
60,0.06567243127990563,0.08156691225554762,0.09192462172890215,0.0953397121334098,0.1225484481790088,0.09995219196391078
61,0.06567628527568194,0.07505489260646522,0.09192848375655109,0.09542441279375716,0.12264177971617454,0.09998710036655731
62,0.06618912880470272,0.0750780730277724,0.08913146790857372,0.09542827830268126,0.12275845633181695,0.09332890777392809
63,0.06231677518906875,0.07507829336621023,0.08615010279677796,0.09540710823767728,0.1227438853498233,0.08932571531103792
64,0.060479761249104286,0.0750589761941122,0.08615953231897165,0.09551534998649779,0.11703797250888061,0.08936440432853247
65,0.06028299093545799,0.07512355306966538,0.08639846747899414,0.09558426379953297,0.11706127838887632,0.08941857149836623
66,0.0603520151131744,0.0738845167205491,0.0854010737690761,0.09570832927880911,0.11343361396223609,0.08400556387720874
67,0.05882598112192938,0.07114003982820993,0.08547060100292457,0.09576633175634963,0.11344140075221452,0.08400969989194523
68,0.05557345518995688,0.06541281529977767,0.08554097502207014,0.09121008772359136,0.1134530810508673,0.08404061341444968
69,0.055604230826751797,0.06544735075735358,0.08562077765276405,0.09122945200712682,0.11026899650592051,0.08415654776231152
70,0.05563137240276878,0.0650974278466949,0.08567460526444154,0.08932715225090179,0.11027678273698596,0.08416427720384041
71,0.05471296936499174,0.06510899394053556,0.0857908449852503,0.08442666269171395,0.1103273947189764,0.08420706332180611
72,0.05502061737026143,0.06530580161756744,0.08588777004242265,0.08440840342807039,0.10249233913470447,0.08428463844678308
73,0.0552557567407482,0.06527658191742453,0.08589550187677517,0.08171778585851469,0.10250011136277003,0.08429623427220123
74,0.055119075912322874,0.06495191921714852,0.08556026764380413,0.08179005127527264,0.0934591481666235,0.08441579142567196
