,logic_length
AID,1
Ag,2
BCR,1
Bach2,1
Bcl6,3
Blimp1,7
CD40,1
CD40L,2
ERK,1
IL_2,2
IL_21,2
IL_21R,1
IL_2R,1
IL_4,2
IL_4R,1
Irf4,1
NF_kB,1
Pax5,1
STAT3,1
STAT5,1
STAT6,1
XBP1,2
