,logic_length
AKT,1
ATM,1
Apo,1
BAD,1
BAX,1
BCL2,1
BID,1
Bclxl,1
Bort,1
CDK2,1
CDK4,1
CDK6,1
CIAP,1
CYCD,2
CYCE,1
Cas3,7
Cas8,1
Cas9,1
Cl_PARP,1
Cytc,1
DNAPK,1
DNAdam,1
ERK,1
FLIP,1
Fas,1
FasL,1
GROWTH,1
IKK,1
IL6,1
JAK1,1
JAK2,1
JNK,2
MAPK,1
MDM,1
MEK1,1
MEKK,1
MEKK2,1
MITO,1
MKK4,1
MYC,1
NIK,1
PI3K,1
PIP3,1
PTEN,1
Prot,1
RAC,1
RAF,1
RAS,1
RIP,1
SHP1,2
STAT3,1
STRESS,1
Smac,1
TNFA,2
TNFAR,2
TRAF3,1
X,2
XIAP,1
cJun,1
gp130,1
p21,9
p27,1
p53,1
pIKB,1
pNFKB,1
pRB,1
pSTAT3,1
