,logic_length
A,2
AJUBA,2
AURKAActive,1
AURKAPresent,1
B,2
BORA,1
CDC25B,1
CDK1CCNBComplex,1
CentrosomeMat,1
Cytokinesis,2
ENSA,1
GSK3B,2
GWL_MASTL,1
MT,1
MTCanAct,2
NEDD9,1
PLK1,8
PP1,1
PP2A,1
STMN,1
STMNCanAct,2
SpindleAssembly,1
TPX2,1
WEE1,1
hCPEB,1
