,logic_length
ABA,2
ABH1,2
ABI1,1
ADPRc,1
AGB1,1
Actin,1
AnionEM,1
Atrboh,1
CIS,1
Ca2_ATPase,1
Ca2_c,9
CaIM,1
Closure,1
Depolar,1
ERA1,2
GC,1
GCR1,2
GPA1,2
HTPase,1
InsP3,1
InsP6,1
InsPK,1
KAP,1
KEV,1
KOUT,1
Malate,1
NIA12,1
NO,2
NOS,1
OST1,1
PA,1
PEPC,1
PLC,2
PLD,1
RAC1,2
RCN1,1
ROP10,1
ROP2,1
ROS,1
S1P,1
SphK,1
cADPR,1
cGMP,1
pH,1
