,logic_length
ATP,1
BAX,2
BCL2,1
CASP3,1
CASP8,16
Cyt_c,1
DISC_FAS,1
DISC_TNF,2
FADD,2
FASL,2
IKK,1
MOMP,1
MPT,1
NFkB,1
NonACD,1
RIP1,1
RIP1k,1
RIP1ub,1
ROS,1
SMAC,1
TNF,2
TNFR,1
XIAP,2
apoptosis,1
apoptosome,1
cFLIP,1
cIAP,1
survival,1
