,logic_length
AD,1
BC,2
DCI,1
DCII,1
EC,2
EL,1
EL2,1
IFNgI,1
IL10I,1
IL12II,1
IL13,1
IL4I,1
IL4II,251
IL5,1
IS,2
IgA,1
IgE,1
IgG,1
NE,1
PIC,1
T0,1
TEL,1
Th1I,1
Th1II,1
Th2I,1
Th2II,1
