,logic_length
AKT,1
AP1,1
ARC,1
ATF2,1
BTG2,1
C3G,1
CITED2,1
CREB,1
Ca2_p,1
Ca2p,2
DAG,1
Dusp6,1
ECM,1
ERK,1
ETS1,1
Egr1,3
FAK,1
FOS,1
FRS2,1
Fosl1,4
GRB2,1
G_i_o,1
Itga1,1
JNK,1
JUNB,1
JUND,1
KLF10,1
KLF2,1
KLF4,1
KLF5,1
KLF6,1
MEK,1
MEKK1,1
MEKK4,1
MKK6,1
MKK7,1
MSK1_2,2
MYC,1
Maff,6
Mapk3k,1
Mmp3_10,1
NGF,2
NPYY1,1
Npy,1
P38,1
P53,1
PI3K,1
PKC,1
PLC,2
Plasmin,1
RAC1,1
RAF,1
RAP1,1
RAS,1
RSK,1
SHC,1
SOS,1
SRF,1
Stat3,1
TrkA,1
ZFP36,1
uPAR,1
uPA_PLAT,1
