,logic_length
AKT,1
AP1,1
ATF2,1
ATM,1
Apoptosis,1
BCL2,1
CREB,1
DNA_damage,2
DUSP1,1
EGFR,1
EGFR_stimulus,1
ELK1,1
ERK,1
FGFR3,1
FGFR3_stimulus,2
FOS,1
FOXO3,1
FRS2,1
GAB1,1
GADD45,1
GRB2,2
Growth_Arrest,1
JNK,1
JUN,1
MAP3K1_3,1
MAX,1
MDM2,1
MEK1_2,1
MSK,1
MTK1,1
MYC,1
PDK1,1
PI3K,1
PKC,1
PLCG,1
PPP2CA,1
PTEN,1
Proliferation,1
RAF,3
RAS,1
RSK,1
SMAD,1
SOS,1
SPRY,1
TAK1,1
TAOK,1
TGFBR,1
TGFBR_stimulus,1
p14,1
p21,1
p38,333
p53,1
p70,1
