,logic_length
Aop,1
Bnl,2
Btl,1
Cnk,2
Csw,2
Drk,1
Dsor1,1
Gap,1
Htl,2
Ksr,2
Msk,2
PLCg,1
Pnt,1
Pyr,2
Raf,1
Ras,1
Rl,2
Sos,1
Src42,2
Stumps,1
Targets,1
Ths,2
