,logic_length
A20,1
Apoptosis,1
BID,1
BclxL,999
CD45,1
CREB,1
CTLA4,1
Caspase,1
Ceramide,1
Cytoskeleton_signaling,1
DISC,1
ERK,1
FLIP,1
FYN,1
Fas,1
FasL,1
FasT,1
GAP,1
GPCR,1
GRB2,1
GZMB,1
IAP,1
IFNG,1
IFNGT,1
IL15,1
IL2,1
IL2RA,1
IL2RAT,1
IL2RB,1
IL2RBT,1
JAK,1
LCK,1
MCL1,1
MEK,1
NFAT,1
NFKB,1
P2,1
P27,1
PDGF,2
PDGFR,1
PI3K,1
PLCG1,1
Proliferation,1
RANTES,1
RAS,1
S1P,1
SMAD,1
SOCS,1
SPHK1,1
STAT3,1
Stimuli,1
Stimuli2,1
TAX,1
TBET,1
TCR,1
TNF,1
TPL2,1
TRADD,1
ZAP70,1
sFas,1
