,logic_length
DAP,1
DV_patterning,2
Easter,1
Fungi,2
GNBP1,1
GNBP3,1
Gd,1
GramN_Bact,2
GramP_Bact,2
Grass,1
ModSP,8
Ndl,1
Nec,2
PGRP_SA,1
PGRP_SD,1
Pipe,2
Psh,1
SPE,1
Snk,1
Spd,1
Sphinx,1
Spirit,1
Spz,1
Viru_Fact,2
