,logic_length
Akt1,248
CDK2,1
CDK4,1
CDK6,1
CycD1,1
CycE1,1
EGF,2
ERa,2
ErbB1,1
ErbB1_2,2
ErbB1_3,1
ErbB2,1
ErbB2_3,1
ErbB3,1
IGF1R,1
MEK1,1
cMYC,1
p21,1
p27,4
pRB,1
