,logic_length
AP1,2
CD45,2
CD8,2
CRE,1
CREB,1
Ca,1
Calcin,1
DAG,1
ERK,1
Fos,1
Fyn,9
Gads,1
Grb2Sos,1
IKKbeta,1
IP3,1
IkB,1
Itk,1
JNK,1
Jun,1
LAT,1
Lck,2
MEK,1
NFAT,1
Nfkb,1
PAGCsk,1
PKCth,1
PLCg_act,2
PLCg_bind,1
Raf,1
Ras,1
RasGRP1,2
Rlk,1
Rsk,1
SEK,1
SLP76,1
TCRbind,1
TCRlig,2
TCRphos,1
ZAP70,1
cCbl,1
