,logic_length
Foxp3,1
GATA3,1
IFNg,1
IFNgR,1
IFNg_e,2
IL12,1
IL12R,1
IL17,5
IL18,1
IL18R,1
IL2,1
IL21,1
IL21R,1
IL23R,1
IL27,1
IL2R,1
IL4,1
IL4R,1
IL4_e,1
IL6,1
IL6R,1
IL6_e,1
IRAK,1
Jak1,1
NFAT,1
NFkB,1
RORgt,1
SOCS1,1
STAT1,1
STAT3,1
STAT4,1
STAT5,1
STAT6,1
TCR,1
TGFb,1
TGFbR,1
Tbet,211
