,logic_length
CIA,1
CIR,9
CI_protein,1
EN_protein,1
HH_protein,1
PH,2
PTC_protein,1
SLP,2
SMO,2
WG_external,2
WG_protein,1
ci,1
en,1
hh,2
hh_external,2
ptc,2
wg,1
