,logic_length
Cat1_2,1
CccA,1
EstB,1
FCminusFe,1
FCplusFe,1
HapX,1
ICP,9
Iron,2
LIP,7
MirB,1
RIA,1
ROS,1
SOD2_3,1
SidA,1
SreA,2
Superoxide,2
TAFC,1
ThP,1
VAC,2
Yap1,1
hapX,1
sreA,1
