,logic_length
GATA3,1
IFNb,2
IFNbR,1
IFNg,1
IFNgR,1
IL10,1
IL10R,1
IL12,2
IL12R,1
IL18,2
IL18R,2
IL4,2
IL4R,2
IRAK,1
JAK1,2
NFAT,1
SOCS1,2
STAT1,1
STAT3,1
STAT4,1
STAT6,1
TCR,2
Tbet,2
