,logic_length
AMH,1
CBX2,1
CTNNB1,1
DHH,1
DKK1,2
DMRT1,1
FGF9,1
FOXL2,1
GATA4,1
NR0B1,1
NR5A1,250
PGD2,1
RSPO1,1
SOX9,1
SRY,8
UGR,1
WNT4,1
WT1mKTS,1
WT1pKTS,1
