,logic_length
Bcatenin_H,1
Bcatenin_M,1
CXCL12_M,1
CXCR4_H,1
CXCR7_H,2
Cx43_M,1
ERK_H,500
ERK_M,1
FoxO3a_H,1
FoxO3a_M,1
GCSF,1
GSK3B_H,1
GSK3B_M,1
Gfi1_H,1
IL1,1
NfkB_H,2
NfkB_M,1
PI3KAkt_H,1
PI3KAkt_M,1
ROS_H,1
ROS_M,1
TLR_H,1
TLR_M,1
VCAM1_M,1
VLA4_H,2
lTLR,1
