,logic_length
ADD,1
ATM,2
ATR,1
BRCA1,1
CHK1,1
CHK2,1
CHKREC,17
DNAPK,1
DSB,1
FAN1,1
FANCD1N,1
FANCD2I,1
FANCJBRCA1,1
FANCM,1
FAcore,1
H2AX,1
HRR,1
ICL,1
KU,1
MRN,1
MUS81,1
NHEJ,59
PCNATLS,1
RAD51,1
USP1,1
XPF,1
p53,1
ssDNARPA,2
