,logic_length
Bmp2,2
Dkk1,1
Fgf8,1
Foxc1_2,1
GATAs,1
Isl1,1
Mesp1,1
Nkx2_5,1
Tbx1,1
Tbx5,998
canWnt,1
exogen_BMP2_I,2
exogen_BMP2_II,1
exogen_CanWnt_I,1
exogen_canWnt_II,1
