,logic_length
APC,1
Arm,1
Arr,1
Axin,1
Boca,2
CK1alpha,2
Dally,1
Dlp,1
Dsh,1
Fz,1
Gro,2
Hipk,1
Hyx,2
Lgs,2
Nej,2
Nemo,1
Nkd,2
Pan,1
Proteasome,2
Pygo,1
Sgg,1
Slmb,1
Targets,1
Ttv,2
Wf,2
Wg,2
